QSIa momento - alpha=2.000 -ani
--------------------------------------------------------------------------------
Z         | Q          | alpha     | QSI_alpha | integration_error | space   
--------------------------------------------------------------------------------
6.000e+00 | -1.000e+00 | 2.000e+00 | 9.996e-01 | 1.477e-07         | momentum
7.000e+00 | -1.000e+00 | 2.000e+00 | 9.998e-01 | 1.478e-07         | momentum
8.000e+00 | -1.000e+00 | 2.000e+00 | 9.999e-01 | 1.388e-07         | momentum
9.000e+00 | -1.000e+00 | 2.000e+00 | 9.999e-01 | 1.458e-07         | momentum
1.100e+01 | -1.000e+00 | 2.000e+00 | 9.925e-01 | 1.485e-07         | momentum
1.300e+01 | -1.000e+00 | 2.000e+00 | 9.987e-01 | 1.443e-07         | momentum
1.400e+01 | -1.000e+00 | 2.000e+00 | 9.990e-01 | 1.447e-07         | momentum
1.500e+01 | -1.000e+00 | 2.000e+00 | 9.994e-01 | 1.490e-07         | momentum
1.600e+01 | -1.000e+00 | 2.000e+00 | 9.996e-01 | 1.472e-07         | momentum
1.700e+01 | -1.000e+00 | 2.000e+00 | 9.997e-01 | 1.487e-07         | momentum
1.900e+01 | -1.000e+00 | 2.000e+00 | 9.817e-01 | 1.488e-07         | momentum
2.100e+01 | -1.000e+00 | 2.000e+00 | 9.717e-01 | 1.448e-07         | momentum
2.200e+01 | -1.000e+00 | 2.000e+00 | 9.722e-01 | 1.480e-07         | momentum
2.300e+01 | -1.000e+00 | 2.000e+00 | 9.722e-01 | 1.472e-07         | momentum
2.400e+01 | -1.000e+00 | 2.000e+00 | 9.726e-01 | 1.486e-07         | momentum
2.500e+01 | -1.000e+00 | 2.000e+00 | 9.711e-01 | 1.489e-07         | momentum
2.600e+01 | -1.000e+00 | 2.000e+00 | 9.704e-01 | 1.488e-07         | momentum
2.700e+01 | -1.000e+00 | 2.000e+00 | 9.698e-01 | 1.434e-07         | momentum
2.800e+01 | -1.000e+00 | 2.000e+00 | 9.693e-01 | 1.458e-07         | momentum
2.900e+01 | -1.000e+00 | 2.000e+00 | 9.692e-01 | 1.479e-07         | momentum
3.100e+01 | -1.000e+00 | 2.000e+00 | 9.957e-01 | 1.125e-07         | momentum
3.200e+01 | -1.000e+00 | 2.000e+00 | 9.972e-01 | 1.455e-07         | momentum
3.300e+01 | -1.000e+00 | 2.000e+00 | 9.983e-01 | 1.488e-07         | momentum
3.400e+01 | -1.000e+00 | 2.000e+00 | 9.989e-01 | 1.424e-07         | momentum
3.500e+01 | -1.000e+00 | 2.000e+00 | 9.992e-01 | 1.472e-07         | momentum
3.700e+01 | -1.000e+00 | 2.000e+00 | 9.755e-01 | 1.489e-07         | momentum
3.900e+01 | -1.000e+00 | 2.000e+00 | 9.894e-01 | 1.488e-07         | momentum
4.000e+01 | -1.000e+00 | 2.000e+00 | 9.580e-01 | 1.483e-07         | momentum
4.100e+01 | -1.000e+00 | 2.000e+00 | 9.574e-01 | 1.407e-07         | momentum
4.200e+01 | -1.000e+00 | 2.000e+00 | 9.574e-01 | 1.483e-07         | momentum
4.300e+01 | -1.000e+00 | 2.000e+00 | 9.559e-01 | 1.478e-07         | momentum
4.400e+01 | -1.000e+00 | 2.000e+00 | 9.551e-01 | 1.489e-07         | momentum
4.500e+01 | -1.000e+00 | 2.000e+00 | 9.547e-01 | 1.488e-07         | momentum
4.600e+01 | -1.000e+00 | 2.000e+00 | 9.544e-01 | 1.471e-07         | momentum
4.700e+01 | -1.000e+00 | 2.000e+00 | 9.544e-01 | 1.478e-07         | momentum
4.900e+01 | -1.000e+00 | 2.000e+00 | 9.930e-01 | 1.489e-07         | momentum
5.000e+01 | -1.000e+00 | 2.000e+00 | 9.956e-01 | 1.407e-07         | momentum
5.100e+01 | -1.000e+00 | 2.000e+00 | 9.973e-01 | 1.490e-07         | momentum
5.200e+01 | -1.000e+00 | 2.000e+00 | 9.982e-01 | 1.456e-07         | momentum
5.300e+01 | -1.000e+00 | 2.000e+00 | 9.987e-01 | 1.470e-07         | momentum

