QSIa momento - alpha=1.000 -cat
-------------------------------------------------------------------------------
Z         | Q         | alpha     | QSI_alpha | integration_error | space   
-------------------------------------------------------------------------------
6.000e+00 | 1.000e+00 | 1.000e+00 | 9.943e-01 | 1.473e-07         | momentum
7.000e+00 | 1.000e+00 | 1.000e+00 | 9.968e-01 | 1.414e-07         | momentum
8.000e+00 | 1.000e+00 | 1.000e+00 | 9.979e-01 | 1.397e-07         | momentum
9.000e+00 | 1.000e+00 | 1.000e+00 | 9.986e-01 | 1.444e-07         | momentum
1.000e+01 | 1.000e+00 | 1.000e+00 | 9.990e-01 | 1.298e-07         | momentum
1.100e+01 | 1.000e+00 | 1.000e+00 | 9.993e-01 | 1.488e-07         | momentum
1.200e+01 | 1.000e+00 | 1.000e+00 | 9.979e-01 | 1.435e-07         | momentum
1.300e+01 | 1.000e+00 | 1.000e+00 | 9.986e-01 | 1.483e-07         | momentum
1.400e+01 | 1.000e+00 | 1.000e+00 | 9.989e-01 | 1.486e-07         | momentum
1.500e+01 | 1.000e+00 | 1.000e+00 | 9.991e-01 | 1.484e-07         | momentum
1.600e+01 | 1.000e+00 | 1.000e+00 | 9.992e-01 | 1.453e-07         | momentum
1.700e+01 | 1.000e+00 | 1.000e+00 | 9.994e-01 | 1.431e-07         | momentum
1.800e+01 | 1.000e+00 | 1.000e+00 | 9.994e-01 | 1.308e-07         | momentum
1.900e+01 | 1.000e+00 | 1.000e+00 | 9.995e-01 | 1.479e-07         | momentum
2.000e+01 | 1.000e+00 | 1.000e+00 | 9.992e-01 | 1.483e-07         | momentum
2.100e+01 | 1.000e+00 | 1.000e+00 | 9.993e-01 | 1.475e-07         | momentum
2.200e+01 | 1.000e+00 | 1.000e+00 | 9.994e-01 | 1.488e-07         | momentum
2.300e+01 | 1.000e+00 | 1.000e+00 | 9.997e-01 | 1.488e-07         | momentum
2.400e+01 | 1.000e+00 | 1.000e+00 | 9.997e-01 | 1.488e-07         | momentum
2.500e+01 | 1.000e+00 | 1.000e+00 | 9.995e-01 | 1.479e-07         | momentum
2.600e+01 | 1.000e+00 | 1.000e+00 | 9.996e-01 | 1.486e-07         | momentum
2.700e+01 | 1.000e+00 | 1.000e+00 | 9.998e-01 | 1.484e-07         | momentum
2.800e+01 | 1.000e+00 | 1.000e+00 | 9.998e-01 | 1.488e-07         | momentum
2.900e+01 | 1.000e+00 | 1.000e+00 | 9.999e-01 | 1.489e-07         | momentum
3.000e+01 | 1.000e+00 | 1.000e+00 | 9.997e-01 | 1.458e-07         | momentum
3.100e+01 | 1.000e+00 | 1.000e+00 | 9.997e-01 | 1.471e-07         | momentum
3.200e+01 | 1.000e+00 | 1.000e+00 | 9.998e-01 | 1.437e-07         | momentum
3.300e+01 | 1.000e+00 | 1.000e+00 | 9.998e-01 | 1.407e-07         | momentum
3.400e+01 | 1.000e+00 | 1.000e+00 | 9.998e-01 | 1.455e-07         | momentum
3.500e+01 | 1.000e+00 | 1.000e+00 | 9.998e-01 | 1.478e-07         | momentum
3.600e+01 | 1.000e+00 | 1.000e+00 | 9.998e-01 | 1.482e-07         | momentum
3.700e+01 | 1.000e+00 | 1.000e+00 | 9.998e-01 | 1.433e-07         | momentum
3.800e+01 | 1.000e+00 | 1.000e+00 | 9.998e-01 | 1.476e-07         | momentum
3.900e+01 | 1.000e+00 | 1.000e+00 | 9.998e-01 | 1.480e-07         | momentum
4.000e+01 | 1.000e+00 | 1.000e+00 | 9.998e-01 | 1.481e-07         | momentum
4.100e+01 | 1.000e+00 | 1.000e+00 | 9.999e-01 | 1.473e-07         | momentum
4.200e+01 | 1.000e+00 | 1.000e+00 | 9.999e-01 | 1.486e-07         | momentum
4.300e+01 | 1.000e+00 | 1.000e+00 | 9.998e-01 | 1.473e-07         | momentum
4.400e+01 | 1.000e+00 | 1.000e+00 | 9.999e-01 | 1.477e-07         | momentum
4.500e+01 | 1.000e+00 | 1.000e+00 | 9.999e-01 | 1.486e-07         | momentum
4.600e+01 | 1.000e+00 | 1.000e+00 | 9.999e-01 | 1.483e-07         | momentum
4.700e+01 | 1.000e+00 | 1.000e+00 | 9.999e-01 | 1.474e-07         | momentum
4.800e+01 | 1.000e+00 | 1.000e+00 | 9.999e-01 | 1.448e-07         | momentum
4.900e+01 | 1.000e+00 | 1.000e+00 | 9.999e-01 | 1.485e-07         | momentum
5.000e+01 | 1.000e+00 | 1.000e+00 | 9.999e-01 | 1.472e-07         | momentum
5.100e+01 | 1.000e+00 | 1.000e+00 | 9.999e-01 | 1.481e-07         | momentum
5.200e+01 | 1.000e+00 | 1.000e+00 | 9.999e-01 | 1.489e-07         | momentum
5.300e+01 | 1.000e+00 | 1.000e+00 | 9.999e-01 | 1.489e-07         | momentum
5.400e+01 | 1.000e+00 | 1.000e+00 | 9.999e-01 | 1.339e-07         | momentum
5.500e+01 | 1.000e+00 | 1.000e+00 | 9.999e-01 | 1.433e-07         | momentum

